No.;"Nama Lembaga";"No. Seri Kartu SAM";"No. Manifest Kartu SAM";"No. PCID";Keterangan
162;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043795;2019AA11100500000000000000043795;Berhasil;R
163;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043796;2019AA11100500000000000000043796;Berhasil;R
164;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043797;2019AA11100500000000000000043797;Berhasil;R
165;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043798;2019AA11100500000000000000043798;Berhasil;R
166;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043799;2019AA11100500000000000000043799;Berhasil;R
167;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043800;2019AA11100500000000000000043800;Berhasil;R
168;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043801;2019AA11100500000000000000043801;Berhasil;R
169;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043802;2019AA11100500000000000000043802;Berhasil;R
170;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043803;2019AA11100500000000000000043803;Berhasil;R
171;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043804;2019AA11100500000000000000043804;Berhasil;R
172;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043805;2019AA11100500000000000000043805;Berhasil;R
173;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043806;2019AA11100500000000000000043806;Berhasil;R
174;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043807;2019AA11100500000000000000043807;Berhasil;R
175;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043808;2019AA11100500000000000000043808;Berhasil;R
176;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043809;2019AA11100500000000000000043809;Berhasil;R
177;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043810;2019AA11100500000000000000043810;Berhasil;R
178;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043811;2019AA11100500000000000000043811;Berhasil;R
179;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043812;2019AA11100500000000000000043812;Berhasil;R
180;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043813;2019AA11100500000000000000043813;Berhasil;R
181;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043814;2019AA11100500000000000000043814;Berhasil;R
182;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043815;2019AA11100500000000000000043815;Berhasil;R
183;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043816;2019AA11100500000000000000043816;Berhasil;R
184;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043817;2019AA11100500000000000000043817;Berhasil;R
185;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043818;2019AA11100500000000000000043818;Berhasil;R
186;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043819;2019AA11100500000000000000043819;Berhasil;R
187;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043820;2019AA11100500000000000000043820;Berhasil;R
188;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043821;2019AA11100500000000000000043821;Berhasil;R
189;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043822;2019AA11100500000000000000043822;Berhasil;R
190;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043823;2019AA11100500000000000000043823;Berhasil;R
191;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043824;2019AA11100500000000000000043824;Berhasil;R
192;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043825;2019AA11100500000000000000043825;Berhasil;R
193;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043826;2019AA11100500000000000000043826;Berhasil;R
194;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043827;2019AA11100500000000000000043827;Berhasil;R
195;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043828;2019AA11100500000000000000043828;Berhasil;R
196;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043829;2019AA11100500000000000000043829;Berhasil;R
197;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043830;2019AA11100500000000000000043830;Berhasil;R
198;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043831;2019AA11100500000000000000043831;Berhasil;R
199;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043832;2019AA11100500000000000000043832;Berhasil;R
200;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043833;2019AA11100500000000000000043833;Berhasil;R
201;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043834;2019AA11100500000000000000043834;Berhasil;R
202;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043835;2019AA11100500000000000000043835;Berhasil;R
203;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043836;2019AA11100500000000000000043836;Berhasil;R
204;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043837;2019AA11100500000000000000043837;Berhasil;R
205;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043838;2019AA11100500000000000000043838;Berhasil;R
206;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043839;2019AA11100500000000000000043839;Berhasil;R
207;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043840;2019AA11100500000000000000043840;Berhasil;R
208;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043841;2019AA11100500000000000000043841;Berhasil;R
209;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043842;2019AA11100500000000000000043842;Berhasil;R
210;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043843;2019AA11100500000000000000043843;Berhasil;R
211;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044023;2019BB12160500000000000000044023;Berhasil;R
212;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044024;2019BB12160500000000000000044024;Berhasil;R
213;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044025;2019BB12160500000000000000044025;Berhasil;R
214;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044026;2019BB12160500000000000000044026;Berhasil;R
215;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044027;2019BB12160500000000000000044027;Berhasil;R
216;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044028;2019BB12160500000000000000044028;Berhasil;R
217;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044029;2019BB12160500000000000000044029;Berhasil;R
218;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044030;2019BB12160500000000000000044030;Berhasil;R
219;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044031;2019BB12160500000000000000044031;Berhasil;R
220;"baintelkam polri - 175 SAM ID ";0;2019BB12ID044032;2019BB12160500000000000000044032;Berhasil;R
